label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,8_post,8_pre,9_post,9_pre,10_post,10_pre,11_post,12_post,12_pre,13_post,13_pre,14_post,14_pre,15_post,15_pre,16_post,16_pre,17_post,17_pre,19_post,19_pre,20_post,20_pre,21_post,21_pre,22_post,22_pre,23_post,23_pre,24_post,24_pre,25_post,25_pre,26_post,26_pre,27_post,27_pre,28_post,28_pre,29_post,29_pre,30_post,30_pre,31_post,31_pre,32_post,32_pre,33_post,33_pre,blank1,blank2,blank3,blank4,gen_02_post,gen_02_pre,gen_02_pre_241103200910,gen_03_post,gen_03_pre,gen_04_post,gen_04_pre,gen_05_post,gen_05_pre,gen_06_post,gen_06_pre,gen_07_post,gen_07_pre
g,11,11,60,214.109161,7.104,0.831620,[M-H]-,,Propenoyl carnitine C3:1,Propenoyl carnitine C3:1,C10H17NO4,0.004,3.135731,214.109161,2395413.25,474742.47,912621.75,249767.42,557669.12,997834.81,344210.88,1218793.00,284312.25,582473.44,294107.19,1173169.12,1168666.88,1139661.38,89189.47,914082.31,1735479.38,90694.05,316905.03,1047540.50,308589.66,350577.66,124156.71,477455.16,197191.83,1054613.12,430366.72,153369.62,311910.41,1066878.00,168783.03,1036780.75,223717.70,578887.44,227078.92,515695.66,252176.50,116579.45,132951.62,2525381.25,292875.88,688138.81,433669.66,973067.06,201173.98,117366.46,134306.64,867400.00,138006.56,1375.52,1846.99,19927.89,26042.12,598356.31,24270.43,34474.75,289325.72,513845.41,590621.06,114906.79,223841.25,798768.50,1086837.62,225090.31,1047701.69,275191.47
g,13,13,59,214.145401,4.149,0.852697,[M-H]-,,N-Nonanoylglycine,N-Nonanoylglycine,C11H21NO3,0.040,2.493908,214.145401,6807965.50,1758467.62,5126619.50,3531056.75,2738828.25,3173636.25,3890392.75,3501555.25,5261930.50,3621825.25,3857034.25,3051856.75,4799373.50,4075553.25,5384893.00,2779637.50,1977686.50,3246893.25,4474760.50,2031604.12,4739927.00,5699490.50,4539490.50,3582183.75,4376204.50,3457188.00,3590890.75,3697026.25,3247682.00,3458862.00,3774688.00,3741668.00,4517864.50,4552486.50,4448342.00,4617415.50,5421319.50,3311033.25,4264327.50,4543883.50,3781361.25,2811880.00,4467136.50,3569847.25,3885930.75,4007354.25,4361088.50,3157859.25,4013175.25,1330.14,940.73,1081.87,2613.57,3201550.00,1457991.00,107241.69,812541.50,2679915.00,4653992.00,3234515.25,3507711.25,3230122.00,2521412.75,2710444.25,9147976.00,3107076.00
g,18,18,24,215.104218,10.714,0.805568,[M-H]-,,Pro-Thr,Pro-Thr,C9H16N2O4,0.897,2.269980,215.104218,2098796.25,798021.69,1076111.50,566112.44,3064116.75,443238.50,132975.52,24252.47,73490.31,13164.50,5893.08,1713246.50,2868966.75,514618.97,356089.72,1817784.50,1310734.00,2753.77,64078.00,1404681.50,69603.59,2653.10,17096.51,109416.74,755548.31,915769.00,203822.00,506031.28,54041.47,323443.28,149368.56,1099418.88,486403.59,308914.66,119713.05,1530.64,8895.46,13763.44,236493.06,401507.16,123081.38,28324.18,29873.13,1138495.88,100649.91,4169.84,29353.49,176793.58,67225.00,0.00,1032.45,909.94,1285.28,1899854.62,135395.75,162220.69,1025478.56,1244744.12,746300.31,257944.38,340374.88,663323.44,1957742.00,569197.38,2027887.88,207376.20
g,22,22,62,216.099457,11.582,0.850831,[M-H]-,,N-acetyl-citrulline isomer,N-acetyl-citrulline isomer,C8H15N3O4,0.660,2.188916,216.099457,3083638.00,1265187.12,4013035.25,2249044.75,5583184.00,2033476.62,685993.81,326176.56,391639.75,56221.62,62168.41,1619938.50,4694284.50,2967241.75,773995.69,4170282.75,3258190.00,1389.07,161530.00,876698.81,428831.22,7339.61,24440.23,723036.75,1523589.38,1471834.00,909853.50,1365848.62,332228.72,606051.81,859589.44,2454861.75,1671125.88,1044757.44,705915.00,32512.61,65039.66,66056.43,712594.81,1229318.62,446487.59,414050.88,165990.31,5391527.50,354167.72,16083.76,57129.87,655586.62,292922.38,0.00,0.00,1290.61,7709.79,4348314.50,501097.12,569485.75,1158566.25,2595220.25,3263092.00,1347221.75,1081825.88,3388504.25,2680912.75,2706341.00,1032835.50,789878.00
g,23,23,64,216.099518,11.027,0.850090,[M-H]-,,N-Acetyl-L-citrulline,N-Acetyl-L-citrulline,C8H15N3O4,0.229,2.471356,216.099518,3083638.00,2116681.25,4008053.75,3306969.25,5584530.00,2641162.00,1289474.62,547658.44,1739060.38,288163.59,163345.98,2502049.25,4709466.50,4620594.00,2264247.25,4086881.25,3246343.25,4528.33,389622.88,1875624.00,638697.56,29370.23,100221.02,1128086.38,3418867.75,3354198.00,1209942.50,2408448.75,700572.06,1650566.88,986249.00,2446546.75,1677393.12,2440425.75,2148306.25,32512.61,81209.34,81281.23,739301.81,1225043.12,1074224.12,439611.50,439808.28,5382000.50,957192.06,16083.76,120134.34,1090903.50,348571.25,0.00,0.00,4614.02,10390.01,4331549.50,719953.19,625781.00,1158566.25,3150093.75,3254208.00,1343336.88,1925333.38,3373792.25,2680912.75,3226250.75,1596964.38,1255444.50
g,25,25,40,216.124634,12.361,0.848236,[M-H]-,,Propionyl-L-carnitine isomer 2,Propionyl-L-carnitine isomer 2,C10H19NO4,0.413,2.329865,216.124634,29493.41,26742.78,2767.99,102539.18,50407.75,52981.58,7740.35,5597.59,31981.89,3250.07,1797.57,55138.78,199173.45,25644.59,101735.52,35617.25,26749.48,1547.97,15846.45,8816.16,15856.82,16615.54,6932.00,3013.06,60229.52,2236.50,6411.73,15904.66,4847.97,6326.99,6876.82,2147.20,3726.50,1770.66,43025.95,1842.36,10420.66,17766.96,36895.49,5884.67,7225.22,3164.84,2147.88,4260.71,8881.21,2293.65,8452.03,3508.03,2060.23,1121.24,1177.76,1506.54,1636.60,9192.12,21221.49,20679.84,28180.77,3286.51,2033.81,3863.42,9457.05,44871.00,17875.94,4998.30,106742.27,31747.83
g,27,27,28,216.124680,7.475,0.849955,[M-H]-,,Propionyl-L-carnitine isomer 1,Propionyl-L-carnitine isomer 1,C10H19NO4,0.508,2.541671,216.124680,155196.11,24982.40,22002.05,9852.21,15805.03,53249.36,34047.62,33411.78,25999.25,17314.57,17975.66,89874.91,129229.87,152454.58,11059.96,67835.12,255215.80,16196.01,14410.00,918789.50,37226.06,13599.07,12874.45,40856.89,51246.16,119808.55,117843.26,22684.51,41408.64,114839.09,57411.66,28453.17,34520.75,12659.02,37595.21,16571.98,18495.94,12259.21,48655.19,15300.37,8340.44,10293.20,17920.66,16939.16,13057.07,20217.91,23635.00,17086.84,12644.44,1877.55,3254.72,1357.40,1936.12,225851.70,32053.11,64725.26,649605.94,63869.81,7434.80,9512.07,18807.24,53995.45,9783.17,30579.52,253046.70,104330.28
g,31,31,61,217.083282,13.018,0.851579,[M-H]-,,Glu-Ala,Glu-Ala,C8H14N2O5,0.533,1.335512,217.083282,34379436.00,6514624.50,6501003.50,4386526.00,15783815.00,3660478.75,1169004.88,421755.97,678113.56,154385.11,79838.05,3019151.75,14139920.00,4814846.00,2582977.25,8878535.00,6525464.00,12656.90,320847.25,2421338.00,1776728.62,53548.55,63951.79,1735247.38,3534043.00,4739451.50,1684104.88,1380109.50,765320.00,2453427.75,1878556.38,3550969.75,3496083.00,1576742.38,1263034.62,83716.34,109816.87,99364.51,975082.19,4293033.50,1967220.00,469218.62,431889.66,9763150.00,1390065.12,9230.96,99355.22,1746662.00,831753.44,0.00,0.00,1042.95,15389.23,5480353.50,587356.94,850345.31,5847566.50,6751865.50,3234371.25,1814525.50,2185359.75,7333314.00,10108464.00,4126261.25,6647342.00,1242707.38
g,38,38,57,205.065506,9.884,0.854133,[M-H]-,,Methionyl-Glycine,Methionyl-Glycine,C7H14N2O3S,0.190,1.339370,205.065506,2252999.75,1408244.00,1824042.38,692333.88,1711275.00,721294.69,344826.75,72136.27,117702.71,23898.45,2624.54,1880091.38,3904999.25,2233142.00,368396.66,6750028.50,952968.75,3363.30,75086.90,1812021.88,86284.06,1278.15,3307.36,284217.62,1327571.38,3289422.00,360788.41,2217494.75,112146.56,1417883.00,324493.88,939521.19,363517.22,370824.75,185507.45,15496.24,10940.23,14355.67,199982.75,229904.00,126126.12,41722.72,20637.80,4577162.50,172501.39,1926.56,13285.91,435028.47,44737.75,941.15,1099.02,1169.27,1181.71,2530575.75,153608.08,90907.34,565643.94,1953211.38,1414212.38,251005.83,446605.09,1944629.50,1229622.00,1483913.00,1603793.00,132556.27
g,57,57,58,227.067825,6.179,0.853708,[M-H]-,,deoxyuridine,deoxyuridine,C9H12N2O5,0.039,2.083181,227.067825,29764818.00,14998595.00,4870256.50,478508.41,4259905.50,660915.81,186372.36,83170.70,102140.20,105775.71,27673.55,41602532.00,28609754.00,384095.41,41363.09,10390224.00,1041683.00,7702.75,48663.25,4142779.25,126193.90,11217.13,4949.02,122554.60,2350576.25,827249.50,177710.95,294379.66,119933.35,341344.50,242330.98,571785.00,155678.36,35358.36,110406.30,49203.26,12954.00,56010.07,63084.50,140278.66,174864.23,64675.27,56926.30,1186427.50,304186.88,9942.86,11109.68,3610744.75,115688.75,2003.80,1889.02,1102.18,1823.87,869946.69,34447.80,48482.80,3246952.75,5214282.00,2732312.25,641156.44,209689.58,18937430.00,15453275.00,2104256.50,3802238.00,1131091.50
