Sample_ID	Individual_ID	Timepoint	Library_size
ERAS1_Dag0	ERAS1	0	36059111
ERAS1_Dag180	ERAS1	180	41438628
ERAS1_Dag42	ERAS1	42	51308729
ERAS1_Dag8	ERAS1	8	47105411
ERAS10_Dag0	ERAS10	0	32605800
ERAS10_Dag180	ERAS10	180	76801124
ERAS10_Dag42	ERAS10	42	39654855
ERAS10_Dag8	ERAS10	8	27708254
ERAS11_Dag0	ERAS11	0	33813547
ERAS11_Dag180	ERAS11	180	39321853
ERAS11_Dag42	ERAS11	42	27419085
ERAS11_Dag4opt	ERAS11	4	36000057
ERAS11_Dag8	ERAS11	8	26861739
ERAS12_Dag0	ERAS12	0	32451805
ERAS12_Dag180	ERAS12	180	30976919
ERAS12_Dag42	ERAS12	42	28358795
ERAS12_Dag4opt	ERAS12	4	17661414
ERAS12_Dag8	ERAS12	8	19577677
ERAS2_Dag0	ERAS2	0	35692970
ERAS2_Dag180	ERAS2	180	35618048
ERAS2_Dag42	ERAS2	42	39209960
ERAS2_Dag4opt	ERAS2	4	36297137
ERAS2_Dag8	ERAS2	8	31133038
ERAS3_Dag0	ERAS3	0	40607035
ERAS3_Dag180	ERAS3	180	35359640
ERAS3_Dag4	ERAS3	4	30136986
ERAS3_Dag42	ERAS3	42	33759478
ERAS3_Dag8	ERAS3	8	36658448
ERAS4_Dag0	ERAS4	0	36640316
ERAS4_Dag180	ERAS4	180	39887664
ERAS4_Dag42	ERAS4	42	35246657
ERAS4_Dag4opt	ERAS4	4	42310195
ERAS4_Dag8opt	ERAS4	8	32180559
ERAS5_Dag0	ERAS5	0	37691994
ERAS5_Dag180	ERAS5	180	33366814
ERAS5_Dag4	ERAS5	4	34861828
ERAS5_Dag42	ERAS5	42	39027808
ERAS5_Dag8	ERAS5	8	40180228
ERAS6_Dag0	ERAS6	0	24979914
ERAS6_Dag180	ERAS6	180	34649313
ERAS6_Dag42	ERAS6	42	31779998
ERAS6_Dag4opt	ERAS6	4	31092463
ERAS6_Dag8opt	ERAS6	8	31769313
ERAS7_Dag0	ERAS7	0	36747543
ERAS7_Dag180	ERAS7	180	37634276
ERAS7_Dag42	ERAS7	42	39181634
ERAS7_Dag4opt	ERAS7	4	38685451
ERAS7_Dag8	ERAS7	8	33340749
ERAS8_Dag0	ERAS8	0	42690986
ERAS8_Dag180	ERAS8	180	39895624
ERAS8_Dag42	ERAS8	42	39424336
ERAS8_Dag8	ERAS8	8	47688309
ERAS9_Dag0	ERAS9	0	31376474
ERAS9_Dag180	ERAS9	180	40082612
ERAS9_Dag4	ERAS9	4	35743443
ERAS9_Dag42	ERAS9	42	33070799
ERAS9_Dag8	ERAS9	8	39982412
