sample	pe	se	n_reads	main_lib	add_lib	n_clean	clean_paired	clean_single	qc_orphans	dc_orphans	n_aln	pri_aln	sec_aln	pe_aln	se_aln
zr5240_1	True	False	32516738	32516738	0	26598318	23123130	3475188	3474572	616	52215754	26380834	25834920	22933270	3447564
zr5240_10	True	False	29027268	29027268	0	23710771	21398514	2312257	2309439	2818	39781745	23111991	16669754	20905164	2206827
zr5240_100	True	False	33198576	33198576	0	27870229	25038988	2831241	2831170	71	54267169	27725318	26541851	24887030	2838288
zr5240_101	True	False	37750630	37750630	0	30653950	27091894	3562056	3561605	451	51120107	29967655	21152452	26564572	3403083
zr5240_102	True	False	46841242	46841242	0	39731172	36129004	3602168	3602063	105	75315034	39535874	35779160	35921968	3613906
zr5240_103	True	False	23634502	23634502	0	19798179	17811912	1986267	1986203	0	35869550	19628676	16240874	17659946	1968730
zr5240_104	True	False	43645626	43645626	0	36292035	32644734	3647301	0	39	64805384	35522975	29282409	31957570	3565405
zr5240_105	True	False	45272140	45272140	0	37834754	33914092	3920662	0	770	60020509	35690743	24329766	32082360	3608383
zr5240_106	True	False	35922402	35922402	0	29441903	26377108	3064795	3064425	370	55688778	29222827	26465951	26188708	3034119
zr5240_107	True	False	35370214	35370214	0	28251104	24675300	3575804	3575178	626	49869583	27024212	22845371	23744822	3279390
zr5240_108	True	False	42807158	42807158	0	36092367	32768638	3323729	3323606	123	62431923	35452233	26979690	32188292	3263941
zr5240_109	True	False	44602976	44602976	0	36783578	32837246	3946332	3946066	266	63762137	35969532	27792605	32186200	3783332
zr5240_11	True	False	34323696	34323696	0	28682538	25589188	3093350	3093064	286	52726639	28305721	24420918	25233388	3072333
zr5240_110	True	False	41686670	41686670	0	35785550	32646470	3139080	3138933	147	65518091	35364531	30153560	32231986	3132545
zr5240_111	True	False	29924140	29924140	0	24776395	22121186	2655209	2654553	656	47757934	24569911	23188023	21926964	2642947
zr5240_112	True	False	29269934	29269934	0	24889069	22635940	2253129	2253058	71	41724932	24624050	17100882	22391684	2232366
zr5240_113	True	False	28240312	28240312	0	23026524	20518140	2508384	2508231	153	42764840	22741863	20022977	20270428	2471435
zr5240_114	True	False	36798708	36798708	0	31353057	28569570	2783487	2783319	168	57061111	31143224	25917887	28369556	2773668
zr5240_115	True	False	32508442	32508442	0	27449952	24935904	2514048	2512596	1452	49844201	27193950	22650251	24687920	2506030
zr5240_116	True	False	33385406	33385406	0	27906219	25040654	2865565	2864964	601	46672341	26995077	19677264	24232416	2762661
zr5240_117	True	False	32036810	32036810	0	26489386	23507102	2982284	2982180	104	45106632	26265895	18840737	23300550	2965345
zr5240_118	True	False	37038372	37038372	0	31474592	28417194	3057398	3057374	24	56066911	31158395	24908516	28143200	3015195
zr5240_119	True	False	26003846	26003846	0	21834835	19626600	2208235	2208219	16	42651262	21739026	20912236	19525904	2213122
zr5240_12	True	False	38361684	38361684	0	31986746	28940474	3046272	3044733	1539	58448926	31631183	26817743	28612180	3019003
zr5240_120	True	False	25295106	25295106	0	21100268	18914096	2186172	2186062	0	39066964	20864357	18202607	18710630	2153727
zr5240_121	True	False	28269020	28269020	0	23558978	20976622	2582356	2582238	118	45404507	23285185	22119322	20724716	2560469
zr5240_122	True	False	37868802	37868802	0	31646765	28569418	3077347	3076494	853	57349759	31346592	26003167	28282050	3064542
zr5240_123	True	False	24355360	24355360	0	20132007	17922356	2209651	2209401	0	37711638	19914629	17797009	17726208	2188421
zr5240_124	True	False	31512736	31512736	0	26696216	24009928	2686288	2686208	0	52718834	26503541	26215293	23817858	2685683
zr5240_125	True	False	36642882	36642882	0	31060495	28294270	2766225	2765776	449	55973294	30805284	25168010	28054424	2750860
zr5240_126	True	False	36683706	36683706	0	29506858	25925216	3581642	3581611	31	56983916	29238027	27745889	25693268	3544759
zr5240_127	True	False	32595714	32595714	0	26908856	24203228	2705628	2705585	43	53680993	26735539	26945454	24042374	2693165
zr5240_128	True	False	32620210	32620210	0	27326973	24622130	2704843	2704820	0	49926024	27171329	22754695	24474896	2696433
zr5240_129	True	False	35971242	35971242	0	30221256	27108828	3112428	3112350	78	56473467	30019469	26453998	26902512	3116957
zr5240_13	True	False	36608196	36608196	0	23098315	21097170	2001145	1959572	0	41464759	22639542	18825217	20751560	1887982
zr5240_130	True	False	43728588	43728588	0	36597039	32945800	3651239	3651186	53	62666399	35808724	26857675	32300744	3507980
zr5240_131	True	False	35560056	35560056	0	29514665	26337218	3177447	3177376	71	58172409	29370662	28801747	26186110	3184552
zr5240_132	True	False	35475388	35475388	0	29359040	26047346	3311694	3311618	76	55217485	29093227	26124258	25802114	3291113
zr5240_133	True	False	53670234	53670234	0	45987210	42153714	3833496	3833352	144	80685437	45057283	35628154	41326656	3730627
zr5240_134	True	False	30839982	30839982	0	25683076	23041712	2641364	2640881	483	43645354	24414263	19231091	22021480	2392783
zr5240_135	True	False	38096562	38096562	0	32841673	30114640	2727033	2726977	56	61302956	32643845	28659111	29923402	2720443
zr5240_136	True	False	19970792	19970792	0	16603909	14780132	1823777	1823702	75	30272865	16448224	13824641	14641956	1806268
zr5240_137	True	False	44542456	44542456	0	33949929	29985270	3964659	3964656	3	59051095	33465298	25585797	29655968	3809330
zr5240_138	True	False	36331780	36331780	0	30013734	26663266	3350468	3350437	31	54746938	29687666	25059272	26412374	3275292
zr5240_139	True	False	32069760	32069760	0	26765855	23836426	2929429	0	1077	53239990	26456743	26783247	23553508	2903235
zr5240_14	True	False	33541554	33541554	0	27152413	24052764	3099649	3098650	999	46408491	26893493	19514998	23840312	3053181
zr5240_140	True	False	34594994	34594994	0	28458111	25250094	3208017	3207718	299	54918405	28261308	26657097	25058094	3203214
zr5240_141	True	False	25925620	25925620	0	20084307	17375864	2708443	2707710	0	41849526	19944868	21904658	17254678	2690190
zr5240_142	True	False	32972120	32972120	0	26018142	22811534	3206608	3206104	504	47228827	25567230	21661597	22426724	3140506
zr5240_143	True	False	29255322	29255322	0	24376097	21846586	2529511	2529374	0	45097359	24077132	21020227	21566700	2510432
zr5240_144	True	False	36941164	36941164	0	31106792	28303534	2803258	2803220	38	57474306	30894015	26580291	28095570	2798445
zr5240_145	True	False	30429028	30429028	0	25097217	22421382	2675835	2675649	186	50387040	24840528	25546512	22183920	2656608
zr5240_146	True	False	33240550	33240550	0	27448638	24908846	2539792	2539286	506	46619179	27269352	19349827	24755210	2514142
zr5240_147	True	False	29009498	29009498	0	21685774	18075670	3610104	3610091	13	46972374	21460088	25512286	17922550	3537538
zr5240_148	True	False	33209264	33209264	0	27270753	24588038	2682715	2682649	66	50321002	27065986	23255016	24395152	2670834
zr5240_149	True	False	29380938	29380938	0	24216905	21600406	2616499	2616202	0	46701652	23857551	22844101	21281060	2576491
zr5240_15	True	False	27207936	27207936	0	22698893	20360796	2338097	0	909	43179025	22523785	20655240	20184822	2338963
zr5240_150	True	False	38763910	38763910	0	32006139	28867678	3138461	3138421	40	58710305	31825038	26885267	28694792	3130246
zr5240_151	True	False	37661048	37661048	0	30390235	26756826	3633409	3632050	1359	56776690	29741886	27034804	26199562	3542324
zr5240_152	True	False	37105738	37105738	0	30187850	26896816	3291034	3289826	1208	56183614	29965644	26217970	26691530	3274114
zr5240_153	True	False	33263008	33263008	0	26425023	23165004	3260019	3259983	36	50378455	26233176	24145279	22980870	3252306
zr5240_154	True	False	31606000	31606000	0	26145396	23374440	2770956	2770175	781	35911005	22232228	13678777	20245666	1986562
zr5240_155	True	False	35294568	35294568	0	28807135	25547152	3259983	3259563	420	52462368	28248049	24214319	25064866	3183183
zr5240_156	True	False	38886392	38886392	0	32662501	29477838	3184663	3184131	532	59150524	32239045	26911479	29057492	3181553
zr5240_157	True	False	30516852	30516852	0	22230818	18020946	4209872	4209708	164	47102685	22086187	25016498	17910092	4176095
zr5240_158	True	False	33571136	33571136	0	27509347	24480128	3029219	3028604	615	51205062	27210675	23994387	24199036	3011639
zr5240_159	True	False	36088378	36088378	0	25929251	23372594	2556657	2536323	20334	47322381	25364711	21957670	22875508	2489203
